title,company,location,description,job_url,posted_date,easy_apply,scraped_at,search_keyword
Machine Learning Engineer,700apps,"Cairo, Cairo, Egypt (Remote)",,https://www.linkedin.com/jobs/search/?currentJobId=4277202322&keywords=Machine%20Learning%20Engineer,,False,2025-11-01 07:38:12,Machine Learning Engineer
AI/ML Engineer (Core Product),micro1,EMEA (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4333284863&keywords=Machine%20Learning%20Engineer,,False,2025-11-01 07:38:20,Machine Learning Engineer
Senior AI / NLP Engineer / Data Scientist,SAQAYA,Egypt (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4332839842&keywords=Machine%20Learning%20Engineer,,False,2025-11-01 07:38:27,Machine Learning Engineer
Senior Machine Learning Engineer,Botify Tech,EMEA (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4320071619&keywords=Machine%20Learning%20Engineer,,False,2025-11-01 07:38:35,Machine Learning Engineer
AI Engineer (Applied AI Scientist),GrowthX AI,EMEA (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4333377782&keywords=Machine%20Learning%20Engineer,,False,2025-11-01 07:38:42,Machine Learning Engineer
AI / GenAI Solutions Engineer,Soum,"Cairo, Cairo, Egypt (Remote)",,https://www.linkedin.com/jobs/search/?currentJobId=4261401875&keywords=Machine%20Learning%20Engineer,,False,2025-11-01 07:38:50,Machine Learning Engineer
Machine Learning Engineer,Robert Half,EMEA (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4315563304&keywords=Machine%20Learning%20Engineer,,False,2025-11-01 07:38:57,Machine Learning Engineer
Artificial Intelligence Engineer,Confidential,EMEA (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4332984486&keywords=Machine%20Learning%20Engineer,,False,2025-11-01 07:39:05,Machine Learning Engineer
AI Developer,Coca-Cola HBC,"New Cairo, Cairo, Egypt (Hybrid)",,https://www.linkedin.com/jobs/search/?currentJobId=4302023020&keywords=Machine%20Learning%20Engineer,,False,2025-11-01 07:39:12,Machine Learning Engineer
DevOps Data Labeling - AI Training,Braintrust,EMEA (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4320122207&keywords=Machine%20Learning%20Engineer,,False,2025-11-01 07:39:20,Machine Learning Engineer
Machine Learning Engineer | Sponsor US H1B,Meriti Inc,Egypt (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4333103407&keywords=Machine%20Learning%20Engineer,,False,2025-11-01 07:39:27,Machine Learning Engineer
ML Engineer Specialist – AI Trainer,Invisible Expert Marketplace,Egypt (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4314165620&keywords=Machine%20Learning%20Engineer,,False,2025-11-01 07:39:34,Machine Learning Engineer
Senior Machine Learning Engineer,Proxify,EMEA (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4233618110&keywords=Machine%20Learning%20Engineer,,False,2025-11-01 07:39:42,Machine Learning Engineer
Cloud Engineer,Link Datacenter,"Cairo, Egypt (On-site)",,https://www.linkedin.com/jobs/search/?currentJobId=4319921037&keywords=Machine%20Learning%20Engineer,,False,2025-11-01 07:39:49,Machine Learning Engineer
Freelance AI Engineer / Machine Learning Expert,Malt,EMEA (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4314054259&keywords=Machine%20Learning%20Engineer,,False,2025-11-01 07:39:57,Machine Learning Engineer
Machine Learning Research Engineer,High5,EMEA (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4311574380&keywords=Machine%20Learning%20Engineer,,False,2025-11-01 07:40:04,Machine Learning Engineer
AI Engineer,ArpuPlus - ARPU Telecommunications Services,"Cairo, Cairo, Egypt (On-site)",,https://www.linkedin.com/jobs/search/?currentJobId=4304934154&keywords=Machine%20Learning%20Engineer,,False,2025-11-01 07:40:12,Machine Learning Engineer
Senior Computer Vision Engineer (on site in Abu Dhabi),LevelUP HCS,EMEA (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4318040445&keywords=Machine%20Learning%20Engineer,,False,2025-11-01 07:40:19,Machine Learning Engineer
AI Engineer,Fekra Technologies,Egypt (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4318225461&keywords=Machine%20Learning%20Engineer,,False,2025-11-01 07:40:27,Machine Learning Engineer
Senior AWS DevOps Engineer,YunoJuno,EMEA (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4317471262&keywords=Machine%20Learning%20Engineer,,False,2025-11-01 07:40:34,Machine Learning Engineer
Senior LLM Engineers (Python),MillionLogics,Egypt (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4331753402&keywords=Machine%20Learning%20Engineer,,False,2025-11-01 07:40:42,Machine Learning Engineer
AI & Data Engineer,QStaffers,"Cairo, Cairo, Egypt (Hybrid)",,https://www.linkedin.com/jobs/search/?currentJobId=4318604440&keywords=Machine%20Learning%20Engineer,,False,2025-11-01 07:40:49,Machine Learning Engineer
Senior Machine Learning Engineer,Unifonic,"Cairo, Cairo, Egypt (Remote)",,https://www.linkedin.com/jobs/search/?currentJobId=4333041440&keywords=Machine%20Learning%20Engineer,,False,2025-11-01 07:40:57,Machine Learning Engineer
Machine Learning Engineer,career.io,EMEA (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4310727767&keywords=Machine%20Learning%20Engineer,,False,2025-11-01 07:41:04,Machine Learning Engineer
Automation & AI Engineer,Orange Business,"Cairo, Cairo, Egypt (Hybrid)",,https://www.linkedin.com/jobs/search/?currentJobId=4319470209&keywords=Machine%20Learning%20Engineer,,False,2025-11-01 07:41:12,Machine Learning Engineer
AI/ML Researcher,Fogsphere,EMEA (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4333020119&keywords=Data%20Scientist,,False,2025-11-01 07:41:27,Data Scientist
Senior Data Scientist,Xenon Seven,"New Cairo, Cairo, Egypt (On-site)",,https://www.linkedin.com/jobs/search/?currentJobId=4324706380&keywords=Data%20Scientist,,False,2025-11-01 07:41:35,Data Scientist
Senior Data Scientist,Digital Egypt For Investment Co.,"Giza, Al Jizah, Egypt (On-site)",,https://www.linkedin.com/jobs/search/?currentJobId=4319864028&keywords=Data%20Scientist,,False,2025-11-01 07:41:42,Data Scientist
Appointment Setter,Revealsite,Egypt (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4319930819&keywords=Data%20Scientist,,False,2025-11-01 07:41:50,Data Scientist
Data Scientist,GrowthX AI,EMEA (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4333407553&keywords=Data%20Scientist,,False,2025-11-01 07:41:57,Data Scientist
Artificial Intelligence Engineer,Confidential,EMEA (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4332984486&keywords=Data%20Scientist,,False,2025-11-01 07:42:05,Data Scientist
AI / GenAI Solutions Engineer,Soum,"Cairo, Cairo, Egypt (Remote)",,https://www.linkedin.com/jobs/search/?currentJobId=4261401875&keywords=Data%20Scientist,,False,2025-11-01 07:42:12,Data Scientist
Data Scientist,Luxoft,Egypt (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4333235210&keywords=Data%20Scientist,,False,2025-11-01 07:42:20,Data Scientist
Machine Learning Engineer | Sponsor US H1B,Meriti Inc,Egypt (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4333103407&keywords=Data%20Scientist,,False,2025-11-01 07:42:27,Data Scientist
Coding Instructor,iCodejr.com,Egypt (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4332786400&keywords=Data%20Scientist,,False,2025-11-01 07:42:35,Data Scientist
Lead Data Scientist,Banque Misr,"Cairo, Cairo, Egypt (On-site)",,https://www.linkedin.com/jobs/search/?currentJobId=4281686038&keywords=Data%20Scientist,,False,2025-11-01 07:42:42,Data Scientist
AI Engineer,Fekra Technologies,Egypt (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4318225461&keywords=Data%20Scientist,,False,2025-11-01 07:42:50,Data Scientist
Mathematics AI Trainer,micro1,EMEA (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4333552950&keywords=Data%20Scientist,,False,2025-11-01 07:42:57,Data Scientist
Data Visualization Designer,AIQU,EMEA (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4320038769&keywords=Data%20Scientist,,False,2025-11-01 07:43:05,Data Scientist
Junior Investment analyst,Premier Services and Recruitment,"Cairo, Egypt (On-site)",,https://www.linkedin.com/jobs/search/?currentJobId=4332768106&keywords=Data%20Scientist,,False,2025-11-01 07:43:12,Data Scientist
Research And Development Manager,Confidential,Egypt (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4333034477&keywords=Data%20Scientist,,False,2025-11-01 07:43:20,Data Scientist
Data Engineer (Data Scientist – AI & Automation),Waffarha,"Cairo, Cairo, Egypt (Hybrid)",,https://www.linkedin.com/jobs/search/?currentJobId=4285551153&keywords=Data%20Scientist,,False,2025-11-01 07:43:27,Data Scientist
Data Scientist,Henkel,"Cairo, Cairo, Egypt (Hybrid)",,https://www.linkedin.com/jobs/search/?currentJobId=4266018689&keywords=Data%20Scientist,,False,2025-11-01 07:43:35,Data Scientist
Data Entry Specialist,dopay,"Cairo, Cairo, Egypt (On-site)",,https://www.linkedin.com/jobs/search/?currentJobId=4288385330&keywords=Data%20Scientist,,False,2025-11-01 07:43:42,Data Scientist
Social Media Manager,Epic Digitization,"Cairo, Egypt (Remote)",,https://www.linkedin.com/jobs/search/?currentJobId=4331460388&keywords=Data%20Scientist,,False,2025-11-01 07:43:50,Data Scientist
Data Scientist II,EVA pharma,"Cairo, Cairo, Egypt (Hybrid)",,https://www.linkedin.com/jobs/search/?currentJobId=4311397219&keywords=Data%20Scientist,,False,2025-11-01 07:43:57,Data Scientist
Data Scientist,Nawy,"Cairo, Cairo, Egypt (On-site)",,https://www.linkedin.com/jobs/search/?currentJobId=4284088753&keywords=Data%20Scientist,,False,2025-11-01 07:44:05,Data Scientist
Data Scientist,Pentasia,EMEA (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4312051213&keywords=Data%20Scientist,,False,2025-11-01 07:44:12,Data Scientist
Artificial Intelligence Business Partner,51Talk Headquarters,"Cairo, Egypt (On-site)",,https://www.linkedin.com/jobs/search/?currentJobId=4331886829&keywords=Data%20Scientist,,False,2025-11-01 07:44:20,Data Scientist
Senior Credit & Risk Analyst,FlapKap,"Cairo, Cairo, Egypt (Hybrid)",,https://www.linkedin.com/jobs/search/?currentJobId=4333284532&keywords=Data%20Scientist,,False,2025-11-01 07:44:27,Data Scientist
Generative AI Engineer,Insight Global,EMEA (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4319440713&keywords=AI%20Engineer,,False,2025-11-01 07:44:43,AI Engineer
AI / GenAI Solutions Engineer,Soum,"Cairo, Cairo, Egypt (Remote)",,https://www.linkedin.com/jobs/search/?currentJobId=4261401875&keywords=AI%20Engineer,,False,2025-11-01 07:44:51,AI Engineer
"AI Engineer (Software Engineer, AI and Agent)",GrowthX AI,EMEA (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4333397668&keywords=AI%20Engineer,,False,2025-11-01 07:44:58,AI Engineer
Senior Machine Learning Engineer,Botify Tech,EMEA (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4320071619&keywords=AI%20Engineer,,False,2025-11-01 07:45:06,AI Engineer
Senior AI / NLP Engineer / Data Scientist,SAQAYA,Egypt (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4332839842&keywords=AI%20Engineer,,False,2025-11-01 07:45:13,AI Engineer
AI Automation Engineer (Video + Agentic Systems),Braintrust,EMEA (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4316664612&keywords=AI%20Engineer,,False,2025-11-01 07:45:21,AI Engineer
AI/ML Engineer (Core Product),micro1,EMEA (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4333284863&keywords=AI%20Engineer,,False,2025-11-01 07:45:28,AI Engineer
Machine Learning Engineer,700apps,"Cairo, Cairo, Egypt (Remote)",,https://www.linkedin.com/jobs/search/?currentJobId=4277202322&keywords=AI%20Engineer,,False,2025-11-01 07:45:36,AI Engineer
Artificial Intelligence Engineer,Confidential,EMEA (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4332984486&keywords=AI%20Engineer,,False,2025-11-01 07:45:43,AI Engineer
AI Developer,Coca-Cola HBC,"New Cairo, Cairo, Egypt (Hybrid)",,https://www.linkedin.com/jobs/search/?currentJobId=4302023020&keywords=AI%20Engineer,,False,2025-11-01 07:45:51,AI Engineer
Cloud Engineer,Link Datacenter,"Cairo, Egypt (On-site)",,https://www.linkedin.com/jobs/search/?currentJobId=4319921037&keywords=AI%20Engineer,,False,2025-11-01 07:45:58,AI Engineer
Freelance AI Red Team Engineer,Mindrift,EMEA (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4318336624&keywords=AI%20Engineer,,False,2025-11-01 07:46:06,AI Engineer
AI Engineer,ArpuPlus - ARPU Telecommunications Services,"Cairo, Cairo, Egypt (On-site)",,https://www.linkedin.com/jobs/search/?currentJobId=4304934154&keywords=AI%20Engineer,,False,2025-11-01 07:46:13,AI Engineer
AI Engineer,Fekra Technologies,Egypt (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4318225461&keywords=AI%20Engineer,,False,2025-11-01 07:46:21,AI Engineer
AI Research Engineer,High5,EMEA (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4311566492&keywords=AI%20Engineer,,False,2025-11-01 07:46:28,AI Engineer
Freelance AI Engineer / Machine Learning Expert,Malt,EMEA (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4314054259&keywords=AI%20Engineer,,False,2025-11-01 07:46:36,AI Engineer
Machine Learning Engineer | Sponsor US H1B,Meriti Inc,Egypt (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4333103407&keywords=AI%20Engineer,,False,2025-11-01 07:46:43,AI Engineer
Senior Computer Vision Engineer (on site in Abu Dhabi),LevelUP HCS,EMEA (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4318040445&keywords=AI%20Engineer,,False,2025-11-01 07:46:51,AI Engineer
Senior Machine Learning Engineer,Proxify,EMEA (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4233618110&keywords=AI%20Engineer,,False,2025-11-01 07:46:58,AI Engineer
ML Engineer Specialist – AI Trainer,Invisible Expert Marketplace,Egypt (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4314165620&keywords=AI%20Engineer,,False,2025-11-01 07:47:06,AI Engineer
Sr. Applied AI Engineer,Zapier,EMEA (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4248486027&keywords=AI%20Engineer,,False,2025-11-01 07:47:13,AI Engineer
Automation & AI Engineer,Orange Business,"Cairo, Cairo, Egypt (Hybrid)",,https://www.linkedin.com/jobs/search/?currentJobId=4319470209&keywords=AI%20Engineer,,False,2025-11-01 07:47:21,AI Engineer
AI & Data Engineer,QStaffers,"Cairo, Cairo, Egypt (Hybrid)",,https://www.linkedin.com/jobs/search/?currentJobId=4318604440&keywords=AI%20Engineer,,False,2025-11-01 07:47:28,AI Engineer
AI/ML Engineer,AKWAD,"Cairo, Cairo, Egypt (On-site)",,https://www.linkedin.com/jobs/search/?currentJobId=4224451917&keywords=AI%20Engineer,,False,2025-11-01 07:47:36,AI Engineer
Data Engineer (Data Scientist – AI & Automation),Waffarha,"Cairo, Cairo, Egypt (Hybrid)",,https://www.linkedin.com/jobs/search/?currentJobId=4285551153&keywords=AI%20Engineer,,False,2025-11-01 07:47:43,AI Engineer
AI/ML Engineer (Core Product),micro1,EMEA (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4333284863&keywords=Deep%20Learning%20Engineer,,False,2025-11-01 07:47:59,Deep Learning Engineer
Machine Learning Engineer,700apps,"Cairo, Cairo, Egypt (Remote)",,https://www.linkedin.com/jobs/search/?currentJobId=4277202322&keywords=Deep%20Learning%20Engineer,,False,2025-11-01 07:48:07,Deep Learning Engineer
Freelance Photographer (Remote),AI Jobs,EMEA (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4332817404&keywords=Deep%20Learning%20Engineer,,False,2025-11-01 07:48:14,Deep Learning Engineer
AI / GenAI Solutions Engineer,Soum,"Cairo, Cairo, Egypt (Remote)",,https://www.linkedin.com/jobs/search/?currentJobId=4261401875&keywords=Deep%20Learning%20Engineer,,False,2025-11-01 07:48:21,Deep Learning Engineer
3D Designer,Redline Group,"Giza, Al Jizah, Egypt (On-site)",,https://www.linkedin.com/jobs/search/?currentJobId=4320004833&keywords=Deep%20Learning%20Engineer,,False,2025-11-01 07:48:29,Deep Learning Engineer
R&D Specialist,BlackStone eIT,"Cairo, Cairo, Egypt (Remote)",,https://www.linkedin.com/jobs/search/?currentJobId=4284437104&keywords=Deep%20Learning%20Engineer,,False,2025-11-01 07:48:36,Deep Learning Engineer
Senior AI / NLP Engineer / Data Scientist,SAQAYA,Egypt (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4332839842&keywords=Deep%20Learning%20Engineer,,False,2025-11-01 07:48:44,Deep Learning Engineer
Machine Learning Lead,Advansys,"Cairo, Cairo, Egypt (Hybrid)",,https://www.linkedin.com/jobs/search/?currentJobId=4281639646&keywords=Deep%20Learning%20Engineer,,False,2025-11-01 07:48:51,Deep Learning Engineer
Remote Senior Technical Office Engineer – U.S. Projects,P L A N Pro,Egypt (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4333193655&keywords=Deep%20Learning%20Engineer,,False,2025-11-01 07:48:59,Deep Learning Engineer
Data Integration Engineer,Systems Limited - Egypt,"New Cairo, Cairo, Egypt (On-site)",,https://www.linkedin.com/jobs/search/?currentJobId=4332757009&keywords=Deep%20Learning%20Engineer,,False,2025-11-01 07:49:06,Deep Learning Engineer
Coding Instructor,iCodejr.com,Egypt (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4332786400&keywords=Deep%20Learning%20Engineer,,False,2025-11-01 07:49:14,Deep Learning Engineer
AI Developer,Coca-Cola HBC,"New Cairo, Cairo, Egypt (Hybrid)",,https://www.linkedin.com/jobs/search/?currentJobId=4302023020&keywords=Deep%20Learning%20Engineer,,False,2025-11-01 07:49:21,Deep Learning Engineer
AI Engineer,ArpuPlus - ARPU Telecommunications Services,"Cairo, Cairo, Egypt (On-site)",,https://www.linkedin.com/jobs/search/?currentJobId=4304934154&keywords=Deep%20Learning%20Engineer,,False,2025-11-01 07:49:29,Deep Learning Engineer
Cloud Engineer,Link Datacenter,"Cairo, Egypt (On-site)",,https://www.linkedin.com/jobs/search/?currentJobId=4319921037&keywords=Deep%20Learning%20Engineer,,False,2025-11-01 07:49:36,Deep Learning Engineer
ML Engineer Specialist – AI Trainer,Invisible Expert Marketplace,Egypt (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4314165620&keywords=Deep%20Learning%20Engineer,,False,2025-11-01 07:49:44,Deep Learning Engineer
Senior Machine Learning Engineer,Proxify,EMEA (Remote),,https://www.linkedin.com/jobs/search/?currentJobId=4233618110&keywords=Deep%20Learning%20Engineer,,False,2025-11-01 07:49:51,Deep Learning Engineer
Senior Technical Engineer,HIRE Consultancy,"Cairo, Egypt (On-site)",,https://www.linkedin.com/jobs/search/?currentJobId=4333393970&keywords=Deep%20Learning%20Engineer,,False,2025-11-01 07:49:59,Deep Learning Engineer
